Search Query,Clicks,Impressions,CTR,Average Position,Query_Modified,CLUSTERS,SUB_CLUSTERS
insulated beverage cup,0,1,0.0000,95.0,insulated beverage cup,3,0
insulated clear water bottle,0,2,0.0000,52.0,insulated clear water bottle,3,0
insulated coffee bottle,0,3,0.0000,94.0,insulated bottle,3,0
insulated coffee mugs,0,5,0.0000,84.0,insulated mugs,3,1
insulated cold drink containers,0,6,0.0000,74.0,insulated cold drink containers,3,0
insulated cups for hot drinks,0,2,0.0000,93.0,insulated cups hot drinks,3,0
insulated drink bottle,0,1,0.0000,75.0,insulated drink bottle,3,0
insulated drink cup,0,1,0.0000,87.0,insulated drink cup,3,0
insulated drinking bottles,0,44,0.0000,79.0,insulated drinking bottles,3,0
insulated drinking cups,0,1,0.0000,91.0,insulated drinking cups,3,0
insulated drinking mugs,0,2,0.0000,80.0,insulated drinking mugs,3,0
insulated drinkware,0,47,0.0000,89.0,insulated drink ware,3,0
insulated glass bottle,0,1,0.0000,87.0,insulated glass bottle,3,0
insulated glass water bottle,0,1,0.0000,99.0,insulated glass water bottle,3,0
insulated hot and cold tumblers,0,1,0.0000,93.0,insulated hot cold tumblers,3,0
insulated mugs for cold drinks,0,1,0.0000,96.0,insulated mugs cold drinks,3,0
insulated thermos water bottle,0,1,0.0000,91.0,insulated thermos water bottle,3,0
insulated water bottles,0,7,0.0000,140.0,insulated water bottles,3,0
international car stickers,0,1,0.0000,64.0,international car stickers,3,1
io bottles,0,1,0.0000,54.0,io bottles,3,1
is microfleece warm,0,2,0.0000,36.0,micro fleece warm,3,1
it bags,0,2,0.0000,70.0,bags,3,1
it laptop bag,0,9,0.0000,76.0,laptop bag,3,1
it laptop stickers,0,2,0.0000,95.0,laptop stickers,3,1
it stickers for laptop,0,5,0.0000,63.0,stickers laptop,3,1
jot gel pens,0,2,0.0000,65.0,jot gel pens,3,1
keep backpack,0,1,0.0000,8.0,keep backpack,3,1
keep bag,0,1,0.0000,11.0,keep bag,3,1
keep bottles cold,0,11,0.0000,59.0,keep bottles cold,3,0
keep cold cups,0,4,0.0000,73.0,keep cold cups,3,0
keep cold water bottle,0,5,0.0000,81.0,keep cold water bottle,3,0
keep cold water bottles,0,1,0.0000,100.0,keep cold water bottles,3,0
keep drinks cold cup,0,2,0.0000,85.0,keep drinks cold cup,3,0
keep hot mug,0,6,0.0000,88.0,keep hot mug,3,0
keep searching trying to find them shirt,0,2,0.0000,9.5,keep searching trying find shirt,3,1
keep warm coffee cup,0,3,0.0000,96.0,keep warm cup,3,0
keep warm cup,0,4,0.0000,78.0,keep warm cup,3,0
keep warm mug,0,2,0.0000,99.0,keep warm mug,3,0
keep your bag,0,1,0.0000,110.0,keep bag,3,1
kick around sunglasses,0,5,0.0000,28.0,kick around sunglasses,3,1
kick ball ball,0,1,0.0000,10.0,kick ball ball,3,1
kids / baby stuff,0,1,0.0000,84.0,kids baby stuff,3,1
kids crew socks,0,2,0.0000,91.0,kids crew socks,3,1
kids on board sticker,0,1,0.0000,83.0,kids board sticker,3,1
kids you tubes,0,1,0.0000,22.0,kids tubes,3,1
kids' insulated jacket,0,1,0.0000,99.0,kids insulated jacket,3,1
ladies laptop backpacks,0,2,0.0000,96.0,ladies laptop backpacks,3,1
ladies laptop rucksack,0,1,0.0000,97.0,ladies laptop rucksack,3,1
laptop 3d stickers,0,2,0.0000,40.0,laptop stickers,3,1
laptop accessories,0,1,0.0000,290.0,laptop accessories,3,1
laptop and book bag,0,6,0.0000,80.0,laptop book bag,3,1
laptop back bag,0,14,0.0000,87.0,laptop back bag,3,1
laptop back bags,0,1,0.0000,88.0,laptop back bags,3,1
laptop backpack,0,8,0.0000,99.0,laptop backpack,3,1
laptop backpack bags,0,4,0.0000,100.0,laptop backpack bags,3,1
laptop backpack blue,0,3,0.0000,45.0,laptop backpack blue,3,1
laptop backpack brands,0,47,0.0000,86.0,laptop backpack brands,3,1
laptop backpack buy,0,2,0.0000,130.0,laptop backpack buy,3,1
laptop backpack canvas,0,47,0.0000,76.0,laptop backpack canvas,3,1
laptop backpack in stock,0,31,0.0000,21.0,laptop backpack stock,3,1
laptop backpack price,0,2,0.0000,96.0,laptop backpack price,3,1
laptop backpack purse,0,3,0.0000,92.0,laptop backpack purse,3,1
laptop backpack tote,0,1,0.0000,50.0,laptop backpack tote,3,1
laptop bag,0,1,0.0000,86.0,laptop bag,3,1
laptop bag and backpack,0,3,0.0000,93.0,laptop bag backpack,3,1
laptop bag backpack,0,15,0.0000,96.0,laptop bag backpack,3,1
laptop bag backpacks,0,1,0.0000,89.0,laptop bag backpacks,3,1
laptop bag black,0,1,0.0000,65.0,laptop bag black,3,1
laptop bag brand,0,2,0.0000,87.0,laptop bag brand,3,1
laptop bag brands,0,4,0.0000,97.0,laptop bag brands,3,1
laptop bag buy,0,9,0.0000,44.0,laptop bag buy,3,1
laptop bag canvas,0,6,0.0000,53.0,laptop bag canvas,3,1
laptop bag grey,0,1,0.0000,39.0,laptop bag grey,3,1
laptop bag in stock,0,7,0.0000,43.0,laptop bag stock,3,1
laptop bag on sale,0,1,0.0000,78.0,laptop bag sale,3,1
laptop bag or backpack,0,3,0.0000,91.0,laptop bag backpack,3,1
laptop bag price,0,62,0.0000,70.0,laptop bag price,3,1
laptop bag sales,0,1,0.0000,77.0,laptop bag sales,3,1
laptop bag shop,0,4,0.0000,65.0,laptop bag shop,3,1
laptop bag small,0,1,0.0000,85.0,laptop bag small,3,1
laptop bag store,0,9,0.0000,40.0,laptop bag store,3,1
laptop bags,0,3,0.0000,99.0,laptop bags,3,1
laptop bags and backpacks,0,2,0.0000,91.0,laptop bags backpacks,3,1
laptop bags backpacks,0,3,0.0000,99.0,laptop bags backpacks,3,1
laptop bags canvas,0,1,0.0000,71.0,laptop bags canvas,3,1
laptop bags for sale,0,6,0.0000,84.0,laptop bags sale,3,1
laptop bags herschel,0,1,0.0000,53.0,laptop bags herschel,3,1
laptop bags in stock,0,2,0.0000,41.0,laptop bags stock,3,1
laptop bags on sale,0,1,0.0000,97.0,laptop bags sale,3,1
laptop bags price,0,1,0.0000,99.0,laptop bags price,3,1
laptop bags prices,0,1,0.0000,92.0,laptop bags prices,3,1
laptop bags rucksack,0,1,0.0000,63.0,laptop bags rucksack,3,1
laptop bags shop,0,1,0.0000,84.0,laptop bags shop,3,1
laptop book bag,0,62,0.0000,38.0,laptop book bag,3,1
laptop book bags,0,44,0.0000,72.0,laptop book bags,3,1
laptop canvas backpack,0,1,0.0000,150.0,laptop canvas backpack,3,1
laptop canvas bag,0,9,0.0000,54.0,laptop canvas bag,3,1
laptop cart,0,1,0.0000,130.0,laptop cart,3,1
laptop computer bags,0,1,0.0000,91.0,laptop computer bags,3,1
laptop computer stickers,0,11,0.0000,57.0,laptop computer stickers,3,1
laptop cover sticker,0,1,0.0000,90.0,laptop cover sticker,3,1
laptop decal sticker,0,5,0.0000,62.0,laptop decal sticker,3,1
laptop decal stickers,0,47,0.0000,50.0,laptop decal stickers,3,1
laptop decals stickers,0,1,0.0000,44.0,laptop decals stickers,3,1
laptop desk accessories,0,4,0.0000,81.0,laptop desk accessories,3,1
laptop dry bag,0,1,0.0000,96.0,laptop dry bag,3,1
laptop gym bag,0,3,0.0000,94.0,laptop gym bag,3,1
laptop küçük sticker,0,1,0.0000,50.0,laptop k k sticker,3,1
laptop logo stickers,0,5,0.0000,46.0,laptop logo stickers,3,1
laptop luggage backpack in stock,0,6,0.0000,22.0,laptop luggage backpack stock,3,1
laptop privacy sweater,0,1,0.0000,81.0,laptop privacy sweater,3,1
laptop rucksack,0,110,0.0000,77.0,laptop rucksack,3,1
laptop rucksack amazon,0,1,0.0000,68.0,laptop rucksack amazon,3,1
laptop rucksack backpack,0,53,0.0000,78.0,laptop rucksack backpack,3,1
laptop rucksack bag,0,1,0.0000,30.0,laptop rucksack bag,3,1
laptop rucksack bags,0,2,0.0000,56.0,laptop rucksack bags,3,1
laptop rucksack canvas,0,1,0.0000,63.0,laptop rucksack canvas,3,1
laptop sack bags,0,2,0.0000,90.0,laptop sack bags,3,1
laptop sleeve,0,215,0.0000,92.0,laptop sleeve,3,1
laptop sleeve backpack,0,26,0.0000,94.0,laptop sleeve backpack,3,1
laptop sleeve backpacks,0,42,0.0000,93.0,laptop sleeve backpacks,3,1
laptop sleeve bags,0,1,0.0000,96.0,laptop sleeve bags,3,1
laptop sleeve branded,0,2,0.0000,71.0,laptop sleeve branded,3,1
laptop sleeve brands,0,1,0.0000,95.0,laptop sleeve brands,3,1
laptop sleeve for kids,0,5,0.0000,95.0,laptop sleeve kids,3,1
laptop sleeve herschel,0,1,0.0000,69.0,laptop sleeve herschel,3,1
laptop sleeve pouch,0,1,0.0000,79.0,laptop sleeve pouch,3,1
laptop sleeves,0,31,0.0000,91.0,laptop sleeves,3,1
laptop sleeves 15,0,1,0.0000,96.0,laptop sleeves,3,1
laptop small stickers,0,1,0.0000,27.0,laptop small stickers,3,1
laptop sticker,0,162,0.0000,75.0,laptop sticker,3,1
laptop sticker cover,0,1,0.0000,72.0,laptop sticker cover,3,1
laptop sticker decal,0,2,0.0000,71.0,laptop sticker decal,3,1
laptop sticker decals,0,9,0.0000,49.0,laptop sticker decals,3,1
laptop sticker online,0,2,0.0000,59.0,laptop sticker online,3,1
laptop sticker pack,0,4,0.0000,40.0,laptop sticker pack,3,1
laptop sticker packs,0,1,0.0000,19.0,laptop sticker packs,3,1
laptop sticker set,0,21,0.0000,12.0,laptop sticker set,3,1
laptop sticker shop,0,22,0.0000,26.0,laptop sticker shop,3,1
laptop sticker store,0,3,0.0000,10.0,laptop sticker store,3,1
laptop stickers amazon,0,1,0.0000,94.0,laptop stickers amazon,3,1
laptop stickers brands,0,1,0.0000,44.0,laptop stickers brands,3,1
laptop stickers canada,0,5,0.0000,82.0,laptop stickers canada,3,1
laptop stickers cheap,0,5,0.0000,29.0,laptop stickers cheap,3,1
laptop stickers for guys,0,1,0.0000,71.0,laptop stickers guys,3,1
laptop stickers funny,0,1,0.0000,10.0,laptop stickers funny,3,1
laptop stickers online,0,19,0.0000,46.0,laptop stickers online,3,1
laptop stickers pack,0,5,0.0000,18.0,laptop stickers pack,3,1
laptop stickers set,0,1,0.0000,19.0,laptop stickers set,3,1
laptop stickers small,0,2,0.0000,39.0,laptop stickers small,3,1
laptop stickers tech,0,1,0.0000,93.0,laptop stickers tech,3,1
laptop stickers the office,0,1,0.0000,25.0,laptop stickers office,3,1
laptop tote backpack,0,2,0.0000,75.0,laptop tote backpack,3,1
laptop tote bag,0,12,0.0000,100.0,laptop tote bag,3,1
laptop tote bag canada,0,1,0.0000,93.0,laptop tote bag canada,3,1
laptop tote canada,0,1,0.0000,93.0,laptop tote canada,3,1
laptop totes bags,0,23,0.0000,82.0,laptop totes bags,3,1
laptop travel bag,0,8,0.0000,93.0,laptop travel bag,3,1
laptop travel sleeve,0,1,0.0000,91.0,laptop travel sleeve,3,1
laptop travel tote,0,1,0.0000,95.0,laptop travel tote,3,1
laptop vinyl decals,0,8,0.0000,79.0,laptop vinyl decals,3,1
laptop vinyl sticker,0,2,0.0000,98.0,laptop vinyl sticker,3,1
laptop vinyl stickers,0,16,0.0000,73.0,laptop vinyl stickers,3,1
laptop with stickers,0,5,0.0000,78.0,laptop stickers,3,1
laptops backpack,0,1,0.0000,100.0,laptops backpack,3,1
laptops stickers,0,3,0.0000,84.0,laptops stickers,3,1
laptops with stickers,0,2,0.0000,83.0,laptops stickers,3,1
large book bag,0,11,0.0000,65.0,large book bag,3,1
large book bags,0,16,0.0000,82.0,large book bags,3,1
large canvas backpacks,0,3,0.0000,100.0,large canvas backpacks,3,1
large canvas carry bags,0,3,0.0000,78.0,large canvas carry bags,3,1
large canvas rucksack,0,6,0.0000,82.0,large canvas rucksack,3,1
large canvas sack,0,2,0.0000,49.0,large canvas sack,3,1
large canvas sacks,0,3,0.0000,61.0,large canvas sacks,3,1
large clear book bags,0,1,0.0000,74.0,large clear book bags,3,1
large colored stickers,0,1,0.0000,8.0,large colored stickers,3,1
large computer bag,0,4,0.0000,95.0,large computer bag,3,1
large emoji stickers,0,4,0.0000,83.0,large emotion stickers,3,1
large hardcover notebook,0,2,0.0000,60.0,large hardcover notebook,3,1
large laptop bag,0,4,0.0000,94.0,large laptop bag,3,1
large laptop bags,0,5,0.0000,95.0,large laptop bags,3,1
large laptop rucksack,0,3,0.0000,66.0,large laptop rucksack,3,1
large laptop totes,0,6,0.0000,88.0,large laptop totes,3,1
large leather diary,0,1,0.0000,100.0,large leather diary,3,1
large leather journal lined pages,0,1,0.0000,82.0,large leather journal lined pages,3,1
large leather notebook,0,3,0.0000,92.0,large leather notebook,3,1
large lined journal,0,1,0.0000,37.0,large lined journal,3,1
large logo stickers,0,2,0.0000,79.0,large logo stickers,3,1
large merchandise bags,0,10,0.0000,48.0,large merchandise bags,3,1
large mesh bags,0,1,0.0000,98.0,large mesh bags,3,1
large mesh gift bags,0,1,0.0000,97.0,large mesh gift bags,3,1
large mesh shopping bags,0,5,0.0000,75.0,large mesh shop bags,3,1
large moving bags,0,1,0.0000,97.0,large moving bags,3,1
large purse for laptop,0,1,0.0000,76.0,large purse laptop,3,1
large roll top backpack,0,75,0.0000,37.0,large roll top backpack,3,1
large rucksack sale,0,5,0.0000,87.0,large rucksack sale,3,1
large sports bags low,0,25,0.0000,60.0,large sports bags low,3,1
large string bag,0,6,0.0000,93.0,large string bag,3,1
large tote,0,152,0.0000,72.0,large tote,3,1
large tote canvas,0,1,0.0000,20.0,large tote canvas,3,1
large tote for laptop,0,1,0.0000,62.0,large tote laptop,3,1
large white sheet,0,1,0.0000,60.0,large white sheet,3,1
large window stickers,0,4,0.0000,75.0,large window stickers,3,1
laser beam merchandise,0,2,0.0000,9.0,laser beam merchandise,3,1
leather cover journal notebook,0,2,0.0000,96.0,leather cover journal notebook,3,1
leather embossed notebook,0,3,0.0000,80.0,leather embossed notebook,3,1
leather hardcover journal,0,1,0.0000,75.0,leather hardcover journal,3,1
leather journal set,0,1,0.0000,77.0,leather journal set,3,1
leather notebook brand,0,6,0.0000,88.0,leather notebook brand,3,1
leather-bound notebook,0,1,0.0000,180.0,leather bound notebook,3,1
led light ballpoint pen suppliers,0,1,0.0000,46.0,led light ballpoint pen suppliers,3,1
led light pens,0,57,0.0000,33.0,led light pens,3,1
light blue desk accessories,0,3,0.0000,72.0,light blue desk accessories,3,1
light blue pens,0,27,0.0000,44.0,light blue pens,3,1
light pen description,0,3,0.0000,25.0,light pen description,3,1
light pen for laptop,0,4,0.0000,55.0,light pen laptop,3,1
light pen price,0,60,0.0000,40.0,light pen price,3,1
light pen products,0,9,0.0000,40.0,light pen products,3,1
light pen stylus,0,2,0.0000,20.0,light pen stylus,3,1
light pens,0,116,0.0000,57.0,light pens,3,1
light tip pen,0,6,0.0000,83.0,light tip pen,3,1
light touch pen,0,4,0.0000,16.0,light touch pen,3,1
light up logo pens,0,10,0.0000,78.0,light logo pens,3,1
light up pens,0,432,0.0000,43.0,light pens,3,1
light up pens for kids,0,2,0.0000,12.0,light pens kids,3,1
light up pens with logo,0,31,0.0000,91.0,light pens logo,3,1
light up pressure pen,0,1,0.0000,24.0,light pressure pen,3,1
light up stylus pen,0,5,0.0000,52.0,light stylus pen,3,1
lightning in a bottle youtube,0,2,0.0000,93.0,lightning bottle youtube,3,1
lightweight waterproof laptop backpack in stock,0,2,0.0000,50.0,lightweight waterproof laptop backpack stock,3,1
lined notebooks,0,6,0.0000,92.0,lined notebooks,3,1
little man on board sticker,0,1,0.0000,59.0,little man board sticker,3,1
log truck decals,0,1,0.0000,67.0,log truck decals,3,1
logo baby on board,0,1,0.0000,27.0,logo baby board,3,1
logo bag,0,2,0.0000,94.0,logo bag,3,1
logo bags,0,8,0.0000,180.0,logo bags,3,1
logo book bags,0,1,0.0000,35.0,logo book bags,3,1
logo drawstring canvas bag price,0,2,0.0000,48.0,logo drawstring canvas bag price,3,1
logo drinkware,0,82,0.0000,45.0,logo drink ware,3,1
logo embossed leather notebook,0,1,0.0000,88.0,logo embossed leather notebook,3,1
logo laptop bag,0,7,0.0000,78.0,logo laptop bag,3,1
logo laptop bags,0,16,0.0000,82.0,logo laptop bags,3,1
logo op sticker,0,1,0.0000,98.0,logo op sticker,3,1
logo stickers for laptops,0,4,0.0000,39.0,logo stickers laptops,3,1
low backpack,0,1,0.0000,99.0,low backpack,3,1
low backpack buy,0,16,0.0000,48.0,low backpack buy,3,1
low bags,0,1,0.0000,94.0,low bags,3,1
low crew socks,0,1,0.0000,89.0,low crew socks,3,1
low price book bags,0,2,0.0000,42.0,low price book bags,3,1
low price canvas backpack,0,2,0.0000,48.0,low price canvas backpack,3,1
low price laptops decals,0,5,0.0000,34.0,low price laptops decals,3,1
low price logo decals,0,1,0.0000,42.0,low price logo decals,3,1
low price sports rucksack,0,4,0.0000,45.0,low price sports rucksack,3,1
low price thermos cup,0,10,0.0000,37.0,low price thermos cup,3,0
low price window decals,0,14,0.0000,37.0,low price window decals,3,1
low price window sticker,0,3,0.0000,30.0,low price window sticker,3,1
low price window stickers,0,18,0.0000,33.0,low price window stickers,3,1
luggage shops,0,1,0.0000,1.0,luggage shop,3,1
macbook vinyl stickers,0,1,0.0000,89.0,macbook vinyl stickers,3,1
make any bag into a backpack,0,1,0.0000,53.0,make bag backpack,3,1
make laptop stickers,0,1,0.0000,59.0,make laptop stickers,3,1
make window sticker,0,11,0.0000,74.0,make window sticker,3,1
make window stickers,0,9,0.0000,83.0,make window stickers,3,1
malibu glasses,0,5,0.0000,21.0,malibu glasses,3,1
malibu sun glasses,0,3,0.0000,16.0,malibu sun glasses,3,0
man gets branded on chest,0,2,0.0000,66.0,man gets branded chest,3,1
men carrying totes,0,2,0.0000,90.0,men carrying totes,3,1
mens micro fleece full zip,0,12,0.0000,74.0,mens micro fleece full zip,3,1
mens water bottle,0,1,0.0000,87.0,mens water bottle,3,0
mens water bottles,0,5,0.0000,100.0,mens water bottles,3,0
merchandise bags,0,369,0.0000,79.0,merchandise bags,3,1
merchandise bags with logo,0,4,0.0000,86.0,merchandise bags logo,3,1
merchandise tote bags,0,3,0.0000,22.0,merchandise tote bags,3,1
merchandise water bottles,0,15,0.0000,9.4,merchandise water bottles,3,0
merchandising bags,0,72,0.0000,39.0,merchandise bags,3,1
merchant bags,0,16,0.0000,27.0,merchant bags,3,1
mesh backpack designs,0,1,0.0000,94.0,mesh backpack designs,3,1
mesh backpack with designs,0,1,0.0000,53.0,mesh backpack designs,3,1
mesh backpacks in stores,0,2,0.0000,60.0,mesh backpacks store,3,1
mesh backpacks with designs,0,3,0.0000,85.0,mesh backpacks designs,3,1
mesh bag,0,23,0.0000,93.0,mesh bag,3,1
mesh bags canada,0,2,0.0000,79.0,mesh bags canada,3,1
mesh bags for sale,0,1,0.0000,98.0,mesh bags sale,3,1
mesh bags small,0,2,0.0000,97.0,mesh bags small,3,1
mesh book bag,0,24,0.0000,56.0,mesh book bag,3,1
mesh book bags for sale,0,2,0.0000,85.0,mesh book bags sale,3,1
mesh book bags with designs,0,5,0.0000,74.0,mesh book bags designs,3,1
mesh cinch bags,0,5,0.0000,86.0,mesh cinch bags,3,1
mesh cinch sack,0,4,0.0000,90.0,mesh cinch sack,3,1
mesh drawstring bags,0,1,0.0000,410.0,mesh drawstring bags,3,1
mesh duffel bag,0,1,0.0000,520.0,mesh duffel bag,3,1
mesh gift bag,0,8,0.0000,88.0,mesh gift bag,3,1
mesh gift bags,0,23,0.0000,82.0,mesh gift bags,3,1
mesh gift bags large,0,7,0.0000,86.0,mesh gift bags large,3,1
mesh gift bags small,0,5,0.0000,76.0,mesh gift bags small,3,1
mesh goodie bags,0,1,0.0000,57.0,mesh goodie bags,3,1
mesh gym bag backpack,0,3,0.0000,73.0,mesh gym bag backpack,3,1
mesh gym bags,0,1,0.0000,95.0,mesh gym bags,3,1
mesh gym sack,0,1,0.0000,96.0,mesh gym sack,3,1
mesh messenger bag,0,25,0.0000,27.0,mesh messenger bag,3,1
mesh messenger bags,0,20,0.0000,22.0,mesh messenger bags,3,1
mesh pack backpack,0,1,0.0000,180.0,mesh pack backpack,3,1
mesh pouch bag,0,1,0.0000,83.0,mesh pouch bag,3,1
mesh shopping bags,0,11,0.0000,83.0,mesh shop bags,3,1
mesh shopping cart,0,3,0.0000,70.0,mesh shop cart,3,1
mesh shoulder bag,0,9,0.0000,81.0,mesh shoulder bag,3,1
mesh sport bag,0,1,0.0000,85.0,mesh sport bag,3,1
mesh sports backpack,0,1,0.0000,85.0,mesh sports backpack,3,1
mesh sports bags,0,1,0.0000,85.0,mesh sports bags,3,1
mesh string backpack,0,5,0.0000,87.0,mesh string backpack,3,1
mesh travel bag,0,2,0.0000,86.0,mesh travel bag,3,1
mesh travel bag price,0,1,0.0000,30.0,mesh travel bag price,3,1
mesh travel pouch,0,1,0.0000,62.0,mesh travel pouch,3,1
messenger backpack in stock,0,4,0.0000,37.0,messenger backpack stock,3,1
messenger bag rucksack,0,1,0.0000,95.0,messenger bag rucksack,3,1
messenger bag store,0,8,0.0000,86.0,messenger bag store,3,1
messenger bags in stock,0,2,0.0000,42.0,messenger bags stock,3,1
messenger book bag,0,7,0.0000,96.0,messenger book bag,3,1
messenger laptop bags,0,1,0.0000,99.0,messenger laptop bags,3,1
metal ball pen,0,2,0.0000,100.0,metal ball pen,3,1
metal coffee cups,0,2,0.0000,98.0,metal cups,3,0
metal coffee mug,0,4,0.0000,96.0,metal mug,3,1
metal coffee mugs,0,3,0.0000,97.0,metal mugs,3,1
metal drinking bottle,0,1,0.0000,89.0,metal drinking bottle,3,0
metal drinkware,0,5,0.0000,77.0,metal drink ware,3,0
metal mug,0,1,0.0000,92.0,metal mug,3,1
metal pens for sale,0,7,0.0000,88.0,metal pens sale,3,1
metal thermal cup,0,2,0.0000,89.0,metal thermal cup,3,0
metal travel mug,0,1,0.0000,160.0,metal travel mug,3,1
metal writing pen,0,3,0.0000,40.0,metal writing pen,3,1
metallic spiral bound notepads,0,1,0.0000,80.0,metallic spiral bound notepads,3,1
microfiber cloth with pouch,0,2,0.0000,77.0,microfiber cloth pouch,3,1
microfibre cleaning cloth,0,1,0.0000,220.0,cleaning cloth,3,1
mini dot stickers,0,4,0.0000,74.0,mini dot stickers,3,1
mini maze ball,0,1,0.0000,97.0,mini maze ball,3,1
mistral bags,0,1,0.0000,78.0,mistral bags,3,1
mistral duffel bag,0,1,0.0000,38.0,mistral duffel bag,3,1
mobile backpack cart,0,1,0.0000,70.0,mobile backpack cart,3,1
more and bags,0,1,0.0000,3.0,bags,3,1
most comfortable baby clothes,0,2,0.0000,99.0,comfortable baby clothes,3,1
mountain view smoke shop,0,1,0.0000,1.0,mountain view smoke shop,3,1
mouse away pouch,0,1,0.0000,93.0,mouse away pouch,3,1
mouse pad pen,0,1,0.0000,61.0,mouse pad pen,3,1
mouse pad sticker,0,3,0.0000,64.0,mouse pad sticker,3,1
mug bottle,0,80,0.0000,16.0,mug bottle,3,0
mug cup for sale,0,1,0.0000,46.0,mug cup sale,3,1
mug cups,0,5,0.0000,15.0,mug cups,3,0
mug cups for sale,0,4,0.0000,65.0,mug cups sale,3,0
mug water,0,1,0.0000,91.0,mug water,3,0
mugs & cups,0,53,0.0000,12.0,mugs cups,3,0
mugs and cups,0,160,0.0000,33.0,mugs cups,3,0
mugs and mugs,0,1,0.0000,49.0,mugs mugs,3,1
mugs cups,0,21,0.0000,65.0,mugs cups,3,0
mugs mugs,0,1,0.0000,6.0,mugs mugs,3,1
mugs that keep drinks cold,0,4,0.0000,83.0,mugs keep drinks cold,3,0
multi color pen fine point,0,3,0.0000,47.0,multi color pen fine point,3,1
multi color pens,0,3,0.0000,88.0,multi color pens,3,1
my bottle blue,0,1,0.0000,67.0,bottle blue,3,0
my bottle tumbler,0,1,0.0000,72.0,bottle tumbler,3,1
my bottle tumblr,0,2,0.0000,76.0,bottle tumblr,3,1
my clear bag store,0,1,0.0000,94.0,clear bag store,3,1
my friday water bottle,0,1,0.0000,48.0,friday water bottle,3,0
nalgene bottle ounces,0,1,0.0000,100.0,nalgene bottle ounces,3,0
navy blue water bottle,0,1,0.0000,66.0,navy blue water bottle,3,0
navy blue water bottles,0,1,0.0000,82.0,navy blue water bottles,3,0
nelk sticker pack,0,5,0.0000,12.0,sticker pack,3,1
nest - cam outdoor 1080p security camera,0,1,0.0000,86.0,nest cam outdoor p security camera,3,1
nest - learning thermostat - 3rd generation - stainless steel,0,2,0.0000,44.0,nest learning thermostat rd generation stainless steel,3,0
nest 3rd generation stainless steel,0,1,0.0000,20.0,nest rd generation stainless steel,3,0
nest add product,0,1,0.0000,44.0,nest add product,3,1
nest battery camera,0,1,0.0000,40.0,nest battery camera,3,1
nest battery low problem,0,2,0.0000,40.0,nest battery low problem,3,1
nest cam indoor camera,0,42,0.0000,84.0,nest cam indoor camera,3,1
nest cam indoor security camera,0,145,0.0000,70.0,nest cam indoor security camera,3,1
nest cam indoor white,0,1,0.0000,48.0,nest cam indoor white,3,1
nest cam outdoor security camera,0,26,0.0000,58.0,nest cam outdoor security camera,3,1
nest camera battery,0,1,0.0000,75.0,nest camera battery,3,1
nest camera contact number,0,1,0.0000,100.0,nest camera contact number,3,1
nest camera log in,0,3,0.0000,41.0,nest camera log,3,1
nest carbon monoxide,0,1,0.0000,91.0,nest carbon monoxide,3,0
nest carbon monoxide detector canada,0,1,0.0000,95.0,nest carbon monoxide detector canada,3,0
nest compatible products,0,1,0.0000,99.0,nest compatible products,3,1
nest dog camera,0,1,0.0000,64.0,nest dog camera,3,1
nest exterior camera,0,1,0.0000,85.0,nest exterior camera,3,1
nest false alarm smoke,0,1,0.0000,76.0,nest false alarm smoke,3,1
nest fire alarm battery,0,2,0.0000,86.0,nest fire alarm battery,3,1
nest home camera,0,15,0.0000,83.0,nest home camera,3,1
nest indoor camera white,0,1,0.0000,47.0,nest indoor camera white,3,1
nest indoor cameras,0,1,0.0000,93.0,nest indoor cameras,3,1
nest indoor security camera,0,113,0.0000,47.0,nest indoor security camera,3,1
nest learning thermostat 3rd generation stainless steel,0,10,0.0000,46.0,nest learning thermostat rd generation stainless steel,3,0
nest lithium battery,0,1,0.0000,9.0,nest lithium battery,3,1
nest outdoor camera,0,61,0.0000,87.0,nest outdoor camera,3,1
nest outdoor camera canada,0,29,0.0000,24.0,nest outdoor camera canada,3,1
nest outdoor security camera,0,77,0.0000,45.0,nest outdoor security camera,3,1
nest outdoor security cameras,0,1,0.0000,41.0,nest outdoor security cameras,3,1
nest protect batteries,0,1,0.0000,99.0,nest protect batteries,3,1
nest protect battery life,0,1,0.0000,93.0,nest protect battery life,3,1
nest protect coupon code,0,2,0.0000,66.0,nest protect coupon code,3,1
nest protect false alarm,0,4,0.0000,84.0,nest protect false alarm,3,1
nest security camera indoor,0,1,0.0000,55.0,nest security camera indoor,3,1
nest security camera outdoor,0,47,0.0000,75.0,nest security camera outdoor,3,1
nest smart thermostat 3rd generation,0,2,0.0000,88.0,nest smart thermostat rd generation,3,1
nest smoke alarm,0,222,0.0000,79.0,nest smoke alarm,3,1
nest smoke alarm 3rd generation,0,3,0.0000,91.0,nest smoke alarm rd generation,3,1
nest smoke alarm app,0,1,0.0000,46.0,nest smoke alarm app,3,1
nest smoke alarm battery,0,9,0.0000,70.0,nest smoke alarm battery,3,1
nest smoke alarm battery life,0,1,0.0000,97.0,nest smoke alarm battery life,3,0
nest smoke alarm canada,0,11,0.0000,17.0,nest smoke alarm canada,3,1
nest smoke alarm false alarm,0,2,0.0000,91.0,nest smoke alarm false alarm,3,1
nest smoke alarm price,0,1,0.0000,100.0,nest smoke alarm price,3,1
nest smoke alarm wired,0,6,0.0000,78.0,nest smoke alarm wired,3,1
